Course	Code	CRN	Type	Dates	Days	Start	Finish	Room
MMPA	503	18187	L2 Sum 10	Wks of 15Nov, 22Nov	W	12:40	16:30	GBLT3
MMPA	503	18187	L2 Sum 10	Wks of 29Nov-13Dec	W	12:40	16:30	GBLT4
MMPA	504	18189	L2 Sum 10	Wks of 15Nov, 22Nov	W	16:40	20:30	GBLT3
MMPA	504	18189	L2 Sum 10	Wks of 29Nov-13Dec	W	16:40	20:30	GBLT4
MMPA	505	18438	L2	Trimester 2	M	12:40	15:30	RWW414
MMPA	506	18440	L2	Trimester 2	M	17:40	20:30	GBLT3
MMPA	507	18442	L2	Trimester 2	W	12:40	15:30	RWW312
MMPA	508	18444	L2	Trimester 2	W	17:40	20:30	GBLT3
MMPA	509	18446	L2 Sum 10	Wks of 15Nov-13Dec	W	16:40	19:30	RWW315
MMPA	510	18448	L2 Sum 10	Wks of 15Nov-13Dec	R	16:40	19:30	RWW129
MMPA	511	18450	L2 Sum 10	Wks of 15Nov-13Dec	F	12:40	15:30	RWW315
MMPA	512	18452	L2 Sum 10	Wks of 15Nov-13Dec	R	12:40	15:30	RWW315
 	 	 	 	 	 	 	 	 
MMPM	501	7075	L1	Wks of 22Feb, 12Apr, 7Jun	T	8:30	18:30	RWW501
MMPM	502	7089	L1	Wks of 5 Jul,23Aug,18Oct	T	8:30	18:30	RWW501
MMPM	503	7090	L1	Wks of 5 Jul,23Aug,18Oct	R	8:30	18:30	RWW413
MMPM	504	7091	L1	Wks of 5 Jul,23Aug,18Oct	W	8:30	18:30	RWW501
MMPM	505	7092	L1	Wks of 22Feb, 12Apr, 7Jun	W	8:30	18:30	RWW501
MMPM	507	13969	L1	Wks of 22Feb, 12Apr, 7Jun	F	8:30	18:30	RWW315
MMPM	522	8188	L2	Wks of 5 Jul,23Aug,18Oct	F	8:30	18:30	RWW501
MMPM	527	7101	L1	Wks of 5 Jul,23Aug,18Oct	R	8:30	18:30	RWW501
MMPM	528	7102	L1	Wks of 22Feb, 12Apr, 7Jun	R	8:30	18:30	RWW501
MMPM	530	7104	L1	Wks of 22Feb, 12Apr, 7Jun	W	8:30	18:30	RWW315
MMPM	532	7106	L1	Wks of 22Feb, 12Apr, 7Jun	F	8:30	18:30	RWW501
MMPM	533	11435	L1	Trimester 2	W	17:40	19:30	GBLT1
